x_pos,y_pos
-566.16,-175.91
-356.69,-565.74
-87.35,-592.49
-620.56,101.75
-674.25,122.54
326.55,617.94
61.92,733.81
314.33,-632.04
-661.63,264.33
-300.05,698.01
-274.38,729.16
100.5,-794.55
81.15,-745.89
-668.49,-210.82
727.29,-372.38
571.84,-98.23
757.35,24.67
-314.8,816.11
623.17,593.08
-781.04,396.36
248.21,-840.56
-370.18,-740.92
262.42,-769.79
-660.53,585.34
235.16,-851.59
702.2,569.6
-722.75,-584.13
496,-726.59
663.81,-677.06
-105.41,-957.83
-446.1,871.06
-569.35,694.73
-169.5,-784.39
900.56,327.46
-763.04,650.83
470.92,813.56
-924.4,404.44
