x_pos,y_pos
-735.19,-52.24
401,635.35
569.79,-497.15
-60.13,-754.53
314.96,689.31
-79.26,-754.3
732.95,199.62
345.88,-677.44
549.31,535.67
544.07,-544.71
587.07,-502.85
115.83,-764.32
761.87,-208.98
772.44,173.58
-735.32,294.39
757.14,239.88
-58.26,-798.64
126.2,-792.83
716.58,370.61
575.56,-585.34
257.67,-782.25
-216.53,809.83
-319.64,780.46
834.89,-126.66
-526.53,-662.7
4.01,-850.5
805.1,283.74
-276.42,-809.3
279.62,-810.68
867.7,-56.42
-858.76,-189.29
-262.5,839.79
8.65,-881.36
-435.35,-767.06
872.76,-127.67
741.38,478.13
-363.81,-805.15
728.79,506.49
-534.18,723.8
499.85,749.4
533.05,730.49
-33.28,-905.35
-536.98,-729.77
-364.91,830.55
-892.71,176.11
31.13,910.82
804.08,432.8
483.72,-778.33
-201.19,894.5
797.78,-454.47
690.95,-607.73
19.23,920.55
719.99,-576.86
-697.94,608.35
906.9,-202.24
-647.38,-668.21
-890.31,274.17
908.23,216.3
-242.25,-902.38
364.4,-860.45
-885.73,298.11
753.27,-553.68
351.16,-871.64
