x_pos,y_pos
475.01,636.71
534.56,-579.78
-665.16,-470.89
-780.4,253.54
617.17,523.28
859.2,47.25
674.54,381.54
97.41,-858.69
-638.29,-420.57
275.38,856.07
-59.55,-824.84
685.83,604.4
-683.48,578.3
-883.94,-7.62
602.95,-676.48
-355.52,-848.71
59.46,914.7
-451.29,-832.68
-861.01,418.72
-7.31,919.44
-938.3,-227.24
488.37,-822.28
170.76,970.31
745.95,-665.65
-317.09,957.11
-738.05,-665.57
945.26,-100.54
-302.62,982.13
986.14,244.83
-652.72,794.14
-328.96,-976.54
-616.62,-828.88
101.81,1001.43
-647.3,805.51
-970.05,-394.19
-244.64,1020.35
-975.85,-423.78
1038.72,292.55
996.27,415.22
