x_pos,y_pos
460.81,-1474.86
-844.78,1340.81
-1287.72,-874.85
-710.35,-1435.73
-1145.77,-1119.25
-608.28,1419.5
1435.89,-740.38
-1014.77,-1283.24
1462.8,732.86
738.07,1290.49
-1135.09,-1181.9
1243.49,1010
-1193.17,974.37
1384.87,-915.24
-603.72,-1424.7
1306.52,-935.63
1341.55,949.76
-903.2,1409.56
-939.82,-1402.79
798.39,-1466.64
-862.23,-1479.74
-1086.9,-1350.52
1217.72,-1227.94
-937.55,1413.8
-1339.29,-1135.86
-1372.21,1159.72
-1128.78,-1425.29
992.88,1461.95
-1379.28,-1220.75
-1478.73,-1120
1296.36,-1114.77
-1429.44,-1093.11
1390.55,-1420.78
1480.23,-1341.29
1242.67,-1136.99
-1336.19,-1388.68
1369.72,1387.21
-1256.11,-1414.38
-1390.72,916.75
-1495.29,1398.32
1396.94,1431.73
