x_pos,y_pos
-652.72,794.14
-328.96,-976.54
534.56,-579.78
475.01,636.71
996.27,415.22
-310.34,29.76
-683.48,578.3
-59.55,-824.84
1092.15,69.74
97.41,-858.69
-970.05,-394.19
-814.73,748.63
170.76,970.31
602.95,-676.48
685.83,604.4
59.46,914.7
-302.62,982.13
-451.29,-832.68
-355.52,-848.71
1038.72,292.55
488.37,-822.28
-780.4,253.54
-883.94,-7.62
-7.31,919.44
-738.05,-665.57
745.95,-665.65
275.38,856.07
101.81,1001.43
1102.9,-239.97
-338.34,705.3
-647.3,805.51
-390.82,-678.17
-975.85,-423.78
-317.09,957.11
-863.79,-698.89
-244.64,1020.35
945.26,-100.54
-938.3,-227.24
-912.74,-525.88
