x_pos,y_pos
370.02,548.69
-148.22,598.03
-559.59,-414.67
635.24,272.12
176.65,678.18
688.99,95.54
469.02,-489.79
297.24,691.17
526.11,-316.15
-678.19,232.7
-756.01,15.23
502.27,-577.76
557.59,-562.7
-565.73,512.41
389.99,-695.92
601.08,357.83
-697.38,-247.03
730.74,302.55
-585.15,-550.24
632.58,492.1
740.41,329.04
-404.27,-701.35
811.39,-34.55
-603.26,-534.48
-554.5,-585.12
-699.7,452.05
740.61,384.61
-734.1,403.57
214.29,765.8
461.05,706.31
-7.01,812.94
527.25,652.09
645.52,553.74
-791.05,295.33
320.43,769.54
21.91,844.3
532.62,676.29
69.04,-841.04
-584.74,619.26
-817.91,295.6
837.74,235.06
-645.7,-596.1
-855.3,-183.5
526.5,-692.51
301.9,833.39
357.18,821.23
-705.94,-511.24
