ID,dist,pect,cost,rec,time
0,449.465,100,144.57,256.857,51737
1,437.398,100,134.285,257.025,51737

0,374.799,100,131.224,263.011,52695
1,452.242,100,146.205,250.871,52695

0,367.304,100,133.162,262.812,52264
1,390.103,100,144.429,251.07,52264

0,494.782,100,139.629,252.798,52588
1,479.028,100,137.066,261.084,52588

0,465.373,100,138.234,258.882,52090
1,370.956,100,138.944,255,52090

0,387.578,100,136.66,260.373,42170
1,452.573,100,133.43,253.508,42170

0,333.839,100,128.213,260.98,43572
1,458.328,100,151.357,252.902,43572

0,464.926,100,141.642,252.011,42380
1,398.05,100,129.682,261.871,42380

0,368.111,100,132.434,248.72,42550
1,535.317,100,141.296,265.162,42550

0,323.8,100,130.161,259.358,45397
1,441.989,100,144.32,254.524,45397

0,530.584,100,142.554,263.767,45927
1,358.89,100,131.504,250.114,45927

0,378.068,100,134.888,253.145,46074
1,407.083,100,136.502,260.737,46074

0,447.627,100,150.556,258.838,45509
1,366.285,100,126.178,255.044,45509

0,395.582,100,136.506,253.923,45459
1,428.704,100,140.359,259.959,45459

0,390.851,100,133.583,257.907,45629
1,510.015,100,144.219,255.975,45629

0,388.796,100,135.042,268.603,46367
1,417.823,100,143.635,245.278,46367

0,395.384,100,130.242,266.192,45983
1,413.748,100,138.753,247.69,45983

0,432.789,100,127.513,255.164,46904
1,451.421,100,147.91,258.718,46904

0,479.364,100,139.259,246.512,46479
1,457.451,100,138.379,267.37,46479

0,424.359,100,140.097,257.505,47362
1,439.991,100,132.586,256.376,47362

0,309.646,100,129.532,266.819,46136
1,463.486,100,148.614,247.063,46136

0,454.907,100,136.903,264.572,47123
1,415.112,100,138.167,249.31,47123

0,467.861,100,145.366,256.044,46786
1,428.463,100,134.154,257.838,46786

0,489.279,100,141.551,264.486,46722
1,360.421,100,135.484,249.396,46722

0,436.549,100,131.239,261.214,46177
1,448.533,100,140.166,252.668,46177

0,427.816,100,135.887,263.73,42417
1,417.659,100,140.466,250.152,42417

0,341.404,100,128.389,260.842,42382
1,460.481,100,151.864,253.04,42382

0,659.991,100,165.721,257.652,37901
1,909.68,80.7692,200.288,195.843,37901

0,802.948,100,173.962,257.342,37919
1,918.706,80.7692,201.722,193.988,37919

0,574.837,100,162.202,250.04,38086
1,865.562,88.4615,205.773,220.94,38086

0,675.656,100,174.558,256.124,37889
1,1042.36,84.6154,217.867,210.133,37889

0,1040.11,100,216.69,250.055,37906
1,992.757,100,215.243,249.216,37906

0,721.945,100,169.052,256.761,37866
1,831.397,84.6154,210.546,210.179,37866

0,844.455,100,181.295,261.343,37788
1,888.587,84.6154,203.572,204.184,37788

0,635.739,100,168.116,260.524,37916
1,1010.25,84.6154,212.821,202.761,37916

0,781.716,100,179.979,258.515,37844
1,888.373,84.6154,200.942,205.094,37844

0,678.564,100,180.739,260.464,37999
1,866.242,84.6154,197.188,202.855,37999

0,696.31,100,174.713,255.729,37966
1,867.271,84.6154,201.692,208.856,37966

0,725.963,100,177.373,265.592,37877
1,976.128,88.4615,213.109,207.684,37877

0,868.901,100,184.8,265.322,37831
1,899.856,84.6154,210.988,198.434,37831

0,779.735,100,199.41,269.112,37975
1,947.119,88.4615,205.942,201.228,37975

0,805.022,100,171.732,254.988,37869
1,930.122,84.6154,205.62,208.985,37869

0,786.428,100,170.944,256.159,37954
1,825.559,84.6154,195.759,203,37954

0,819.857,100,183.946,263.439,37917
1,911.813,84.6154,200.898,197.884,37917

0,622.851,100,168.071,251.398,37834
1,902.755,88.4615,206.653,215.817,37834

0,729.773,100,182.147,266.23,37929
1,881.181,84.6154,209.208,195.276,37929

0,797.541,100,185.686,265.125,37903
1,936.612,84.6154,211.19,198.16,37903

0,956.979,100,153.392,162.32,39923
1,1213.28,100,204.335,157.032,39923
2,1200.49,100,214.18,163.696,39923

0,1083.93,100,186.713,163.227,39688
1,1059.42,100,171.73,157.445,39688
2,1201.57,100,210.172,162.376,39688

0,872.787,100,155.585,160.767,39718
1,1061.63,100,185.294,165.966,39718
2,1336.28,100,223.16,156.315,39718

0,841.914,100,142.941,165.19,39809
1,1043.32,100,183.189,153.719,39809
2,1229.36,100,216.975,164.139,39809

0,1224.26,100,169.389,170.508,39854
1,1288.32,100,197.358,155.417,39854
2,1237.1,100,208.205,157.122,39854

0,1380.44,100,164.129,153.36,39827
1,1012.97,100,177.882,167.87,39827
2,1358.31,100,212.502,161.818,39827

0,829.037,100,139.33,161.498,39741
1,1057.3,100,195.331,162.402,39741
2,1242.09,100,221.245,159.148,39741

0,1191.75,100,185.332,163.825,39837
1,1045.58,100,168.13,163.276,39837
2,1157.5,100,210.837,155.947,39837

0,773.938,100,137.98,162.195,39608
1,1073.39,100,188.011,158.5,39608
2,1234.49,100,218.48,162.353,39608

0,937.608,100,155.746,162.959,39833
1,1104.03,100,212.074,152.368,39833
2,1265.79,100,209.453,167.721,39833

0,880.221,100,163.902,169.349,39759
1,1184.28,100,202.71,154.057,39759
2,1224.13,100,181.817,159.643,39759

0,780.778,100,142.241,161.654,39760
1,1127.32,100,195.742,162.864,39760
2,1363.52,100,226.041,158.53,39760

0,1270.25,100,189.512,166.493,39883
