x_pos,y_pos
259.35,-857.38
634.2,636.14
-908.49,-127.88
-905.24,176.22
301.9,833.39
-645.7,-596.1
-836.21,360.71
149.17,938.98
-937.59,137.24
-659.42,677.65
887.27,-366.72
814.23,-543.25
868.26,434.63
882.77,-445.63
596.57,807.13
949.74,24.56
783.91,625.59
27.57,988.73
-916.43,301.65
737.13,701.54
354.82,-968.81
-763.79,652.84
549.79,-855.8
933.11,-476.48
422.43,-959.11
363.58,988.43
960.18,-355.33
-499.6,968.23
698.08,-798.8
-942.92,-547.6
-565.18,-884.74
-700.96,-908.82
919.86,-626.69
-980.58,441.16
864.39,-511.01
-880.73,798.96
-931.08,-755.82
-818.04,-883.62
-882.54,-757.73
988.75,668.66
777.77,-936.49
937.31,678.38
924.73,776.7
-965.64,978.38
-983.7,514.86
942.06,885.15
951.51,779.32
