x_pos,y_pos
486.53,-1131.05
135.11,-1241.2
-1326.49,-99.63
1162.22,477.64
-1079.01,-655.16
735.7,-1027.78
850.53,-949.05
1476.05,-324.25
-135.08,-1386.59
1061.25,843.92
1133.49,-236.96
-116.54,-1481.66
-1250.33,-70.17
-356.21,-1234.81
-445.33,1132.14
888.11,600.51
-316.33,1395.5
-1159.77,-953.09
-677.94,-1402.01
365.17,-1344.5
118.74,1176.08
882.93,1187.22
1249.93,1031.55
-846.82,1280.98
1463.21,355.93
-676,1173.34
902.33,1072.88
-420.87,-1498.25
739.6,1292.36
-1218.97,-867.78
-1092.07,-1079.22
1374.87,354.16
1221.61,-389.94
1388.07,-627.22
-641.77,1264.8
-905,-1047.43
-635.39,1392.99
