x_pos,y_pos
-95.84,-70.82
-45.56,-77.8
-96.25,36.44
43.71,-177.79
181.01,139.43
22.77,53.68
-156.06,44.57
-264.14,-66.91
-169.16,-151.1
-202.12,168.85
-203.91,-205.51
-38.35,209.94
93.51,-301.91
-19.75,326.93
96.15,-246.26
227,-237.02
-79.45,307.39
-206.67,-272.06
-254.05,-245.19
255.86,-177.93
64.64,-101.25
-371.03,31.84
293.46,-196.51
-102.1,365.65
298.78,252.42
-272.12,234.98
307.56,185.74
102.25,414.68
-237.85,224.02
-412.64,1.25
315.81,323.84
-290.61,-261.91
347.56,-79.58
220.96,404.5
-215.04,417.58
440.61,120.29
-123.86,-444.39
127.77,462.78
264.68,331.87
242.68,425.62
120.87,416.55
-457.91,-184.58
334.76,373.22
305.96,-397.75
-32.09,-505.62
501.11,21.88
-80.52,466.87
-313.05,423.66
435.46,-220.38
-361.35,-312.61
-320.71,-314.05
-537.43,168.89
-45.08,544.96
532.47,-160.82
95.61,-498.16
-491.88,-287.97
-483.64,-304.41
-441.36,324.34
421.1,380.55
457.38,347.69
-452.24,-354.92
-159.28,-542.11
-124.01,-501.78
-191.95,-535.28
-60.47,-570.97
554.41,-153.87
443.04,390.43
-522.39,-278.84
