x_pos,y_pos
151.79,-48.61
488.99,-172.71
-112.24,322.58
-137.17,-4.36
-472.83,-12.59
186.05,-190.42
286.67,-159.3
-128.37,-162.33
-458.16,86.51
69.97,8.06
-12.04,-452.85
-495.12,-76.64
-485.63,-220.71
-177.18,-186.49
260.02,-241.84
-278.91,-141.12
-158.25,-482.84
-365.5,196.13
417.34,321.28
272.03,115.37
201.51,-362.35
275.04,-154.15
208.9,392.25
79.52,-333.56
-6.65,-436.86
480.49,169.63
143.19,202.7
-244.53,-127.99
190.16,156.58
-63.86,-283.86
-12.97,-418.24
-435.09,-300.37
375.61,-221.01
81.4,72
-403.72,-225.75
47.08,112.44
127.52,-222.2
102.15,-386.65
383.31,465.69
40.69,366.34
-43.08,-253.04
-217.42,-146.35
-159.97,-446.33
-250.92,485.16
-454.81,-465.79
-82,-203.68
-359.86,-21.83
446.71,151.5
45.56,211.24
-60.57,-286.57
-377.13,319.98
112.55,361.62
160.34,437.1
-326.86,-102.27
