x_pos,y_pos
-320.21,300.59
-330.47,122.99
-123.74,-358.92
-85.78,-391.47
-380.57,38.78
450.08,-278.04
-467.88,310.25
391.09,-125.79
90.6,-173.99
248.05,471.74
-304.12,-354.33
472.79,-78.28
-464.41,-219.62
426.79,214.81
-275.81,-421.67
-362.72,170.98
477.25,18.03
298.89,22.87
403.08,-124.63
-442.33,35.05
-493.17,219.99
-337.07,386.13
-418.73,-57.46
92.92,435.07
-140.03,450.83
378.61,-440.44
185.38,374.73
-319.24,-439.64
-391.7,266.96
-286.38,428.52
-441.72,326.46
-142.69,-374.67
-79.81,-387
484.18,180.18
276.32,74.94
-426.03,-44.21
408.48,-144.42
-413.81,242.24
378.26,-295.37
106.28,470.11
227.59,-428.68
-190.32,447.94
-287.05,459.51
-393.18,-371.62
-409.7,268.92
492.82,79.91
-432.23,-206.89
307.21,424.84
-430.88,-378.26
-154.59,-338.26
-395.7,371.09
-489.16,-193.73
364.82,-483.04
-334.41,468.52
408.96,153.6
193.15,-486.46
461.09,439.18
-430.58,-81.38
392.58,-331.99
69.17,456.38
497.26,-475.79
-327.54,291.11
-250.67,-345.86
-488.84,232.51
-236.84,426.07
-287.86,458.9
-460.28,403.65
-379.57,-325.37
-332.33,216.99
-456.51,306.79
357.44,-436.54
258.64,-380.99
-345.06,202.59
431.4,-399.04
-343.47,-349.07
-91.46,448.98
440.78,377.27
274.58,-477.49
-434.21,392.88
433.59,-310.02
298.08,-286.24
436.4,447.42
459.83,-487.1
-316.53,346.73
411.29,431.29
488.99,-446.28
341.14,365.61
430.97,-466.58
498.41,424.39
450.45,423.22
371.3,-499.08
269.32,-487.76
-461.06,498.33
435.53,-406.08
